Gene	CRE1	CRE2	CRE3	CRE4	FLOX1A	FLOX1	FLOX2A	FLOX2	FLOX3	FLOX4A
0610009B22Rik	10.99801293	10.18116545	7.779694086	7.579565831	8.097356424	14.11185091	9.194895888	10.11748766	7.160400924	7.750105395
0610010K14Rik	1.515692538	1.849387732	1.512040857	1.134099626	1.097641649	1.170760964	1.47740399	1.524291926	1.044225135	1.208256966
0610012G03Rik	51.25628546	57.78860015	32.24061311	41.5080463	39.7670171	48.60748646	41.30899315	31.53378922	35.13071703	31.1557689
0610030E20Rik	0.480585439	0.648238999	0.292653069	0.756066417	0.269911881	0.355409578	0.330471945	0.552555823	1.118812644	0.466041972
0610040J01Rik	4.454657337	4.499541285	5.121428709	6.029629676	11.42626962	3.930411808	11.58595761	4.496661181	5.127891287	8.889319105
1110004F10Rik	103.4182896	90.42934032	82.94275733	84.58493041	111.5815715	120.4420342	107.8893704	113.2929974	92.71227447	101.6661933
1110017D15Rik	0.203324609	0.59104144	0.024387756	0.207918265	0.089970627	0.041812892	0.15551621	0.038107298	0.167821897	0
1110032A03Rik	8.077532183	8.026724072	6.999285902	6.728991112	5.956055503	6.062869278	4.451651498	7.240386648	4.270134926	5.350852277
1110032F04Rik	0	0.190658529	0.365816336	0.359131548	0.107964752	0.020906446	0.272153367	0	0.316996916	0.414259531
1110038F14Rik	18.98312483	22.07825766	18.4127556	21.26436798	35.21450338	23.66609663	33.86365462	19.16797097	18.46040863	23.31935944
1110051M20Rik	5.656120934	4.518607138	3.975204188	3.629118802	3.904725209	5.226611447	4.237816709	5.125431601	4.419309945	3.797379035
1110059E24Rik	20.2400406	17.67404564	12.02316359	13.25006396	14.32332381	22.39080344	18.25371509	17.49124985	14.67509252	19.17676413
1110059G10Rik	15.5635746	12.69785803	10.3647962	12.55070252	12.46992889	15.44986344	12.2469015	13.22323246	12.10182344	11.72009257
1110065P20Rik	3.29016185	4.347014462	4.097142967	4.404086879	7.503550286	6.041962833	7.095427059	3.391549535	4.400663068	4.971114373
1190005I06Rik	0.055452166	0.076263412	0	0	0	0	0.058318579	0.057160947	0	0
1190007I07Rik	3.086837242	1.830321879	2.146122507	1.927969363	2.321242175	3.616815121	3.732389029	3.448710482	1.473103315	1.846907076
1300017J02Rik	0.129388387	0.038131706	0.390204092	0	0.287906006	0.083625783	0.038879052	0.304858385	0.07458751	0.017260814
1500009L16Rik	0.406649217	0	0.024387756	0	0.431859009	0.229970904	0.427669576	0.152429193	0.018646877	0.466041972
1500011B03Rik	17.6707569	18.64640414	17.63234741	15.38595159	20.36934994	19.81931061	17.34005736	16.25276266	12.99687355	12.58313326
1600012H06Rik	29.66690882	30.42910123	30.31398041	27.35070264	23.57230426	29.62443368	27.81796198	34.42994388	28.43648805	31.24207297
1600014C10Rik	35.74816303	44.30904215	47.89755231	47.84010254	84.21250681	34.72560645	92.41550751	33.55347602	42.79458365	96.05642878
